DrugBank ID,Common name,Synonyms,Generic name,Drug class,Description,Alternatives,side-effects
DB00001,Lepirudin,Hirudin variant-1; Recombinant hirudin,Lepirudin,Anticoagulant,A recombinant hirudin used as an anticoagulant for patients with heparin-induced thrombocytopenia.,Bivalirudin; Argatroban; Desirudin; Heparin (if not HIT),Severe bleeding events (hemorrhage); Hemorrhage (major); Rare anaphylaxis; May develop anti-hirudin antibodies
DB00002,Cetuximab,Erbitux; Anti-EGFR monoclonal antibody,Cetuximab,Antineoplastic,A monoclonal antibody used to treat colorectal cancer and head and neck cancer.,Panitumumab; Necitumumab; Afatinib; Erlotinib; Gefitinib,Severe infusion-related reaction; Acne-like rash (acneiform); Serious interstitial lung disease
DB00003,Dornase alfa,Pulmozyme; Human DNase I,Dornase alfa,Mucolytic,A recombinant human DNase I enzyme used to treat cystic fibrosis.,Hypertonic saline (3%–7%); Airway clearance therapies; N-acetylcysteine (mucolytic),Voice changes (dysphonia); Throat inflammation (pharyngitis); Rare allergic reactions
DB00005,Etanercept,Enbrel; TNF receptor fusion protein,Etanercept,Immunosuppressant,A TNF blocker used to treat rheumatoid arthritis and other autoimmune conditions.,Adalimumab; Infliximab; Certolizumab; Golimumab,Pain/swelling at injection site; Increased susceptibility to infections; Rare demyelinating disease
DB00006,Bivalirudin,Angiomax; Angiox,Bivalirudin,Anticoagulant,A direct thrombin inhibitor used as an anticoagulant in patients undergoing percutaneous coronary intervention.,Argatroban; Heparin; Fondaparinux; Lepirudin/Desirudin,Severe bleeding events (hemorrhage); Low blood pressure (hypotension); Anaphylactic hypersensitivity (rare)
DB00007,Leuprolide,Lupron; Eligard; Viadur,Leuprolide,Hormone,"A GnRH agonist used to treat prostate cancer, endometriosis, and precocious puberty.",Goserelin; Triptorelin; Histrelin; Degarelix (GnRH antagonist),Hot flashes; Headache; Mood changes; Rare pituitary apoplexy
DB00014,Goserelin,Zoladex; ICI-118630,Goserelin,Hormone,A GnRH agonist used in the treatment of prostate and breast cancer.,Leuprolide; Triptorelin; Histrelin; Degarelix,Hot flashes; Pain/swelling at injection site; Osteoporosis (long-term)
DB00015,Reteplase,Retavase; r-PA,Reteplase,Thrombolytic,A tissue plasminogen activator used to treat acute myocardial infarction.,Alteplase (tPA); Tenecteplase; Streptokinase,Bleeding (major; Minor); Rare allergic reactions; Intracerebral hemorrhage
DB00016,Erythropoietin,EPO; Epoetin alfa; Procrit,Epoetin alfa,Hormone,A hormone used to treat anemia associated with chronic kidney disease.,Epoetin alfa; Darbepoetin alfa; Epoetin alfa-epbx (biosimilar),Hypertension; Thromboembolism; Rare pure red cell aplasia
DB00018,Filgrastim,Neupogen; G-CSF,Filgrastim,Colony stimulating factor,A granulocyte colony-stimulating factor used to treat neutropenia.,Pegfilgrastim; Tbo-filgrastim; Lenograstim,Bone pain; Splenomegaly; Rare splenic rupture
DB00020,Sargramostim,Leukine; GM-CSF,Sargramostim,Colony stimulating factor,A granulocyte-macrophage colony-stimulating factor used following bone marrow transplantation.,Filgrastim; Pegfilgrastim,Common and serious adverse effects may include gi upset; Severe skin rash (dermatitis); And rare serious reactions.
DB00027,Gramicidin D,Gramicidin; Sofradex,Gramicidin,Antibiotic,A polypeptide antibiotic used topically to treat bacterial infections.,Neomycin (topical); Polymyxin B; Bacitracin (topical combos),Common and serious adverse effects may include gi upset; Severe skin rash (dermatitis); And rare serious reactions.
DB00035,Desmopressin,DDAVP; Minirin,Desmopressin,Hormone,A synthetic analog of vasopressin used to treat diabetes insipidus and nocturnal enuresis.,Vasopressin; Imipramine (nocturnal enuresis); Oxybutynin (if overactive bladder),Common and serious adverse effects may include gi upset; Severe skin rash (dermatitis); And rare serious reactions.
DB00047,Lysine,L-Lysine; Lysine hydrochloride,Lysine,Amino acid,An essential amino acid used as a dietary supplement.,Dietary protein sources; Acyclovir/Valacyclovir (for herpes-related indications),Limited data; Generally well tolerated at nutritional doses.
DB00050,Cetirizine,Zyrtec; Reactine,Cetirizine,Antihistamine,A second-generation antihistamine used to treat allergic rhinitis and urticaria.,Loratadine; Fexofenadine; Levocetirizine; Desloratadine,Common and serious adverse effects may include gi upset; Severe skin rash (dermatitis); And rare serious reactions.
DB00091,Cyclosporine,Neoral; Sandimmune; Gengraf,Cyclosporine,Immunosuppressant,A calcineurin inhibitor used to prevent organ transplant rejection.,Tacrolimus; Sirolimus; Mycophenolate mofetil; Azathioprine,Common and serious adverse effects may include gi upset; Severe skin rash (dermatitis); And rare serious reactions.
DB00104,Octreotide,Sandostatin; SMS 201-995,Octreotide,Hormone,A somatostatin analog used to treat acromegaly and carcinoid syndrome.,Lanreotide; Pasireotide; Bromocriptine/Cabergoline (condition-dependent),Common and serious adverse effects may include gi upset; Severe skin rash (dermatitis); And rare serious reactions.
DB00108,Natalizumab,Tysabri; AN100226,Natalizumab,Immunosuppressant,A monoclonal antibody used to treat multiple sclerosis and Crohn's disease.,Ocrelizumab (MS); Fingolimod; Dimethyl fumarate; Ustekinumab (IBD alternative class),Common and serious adverse effects may include gi upset; Severe skin rash (dermatitis); And rare serious reactions.
DB00109,Enfuvirtide,Fuzeon; T-20,Enfuvirtide,Antiviral,A fusion inhibitor used to treat HIV infection.,"Maraviroc; Ibalizumab; Integrase inhibitors (e.g., Dolutegravir)",Common and serious adverse effects may include gi upset; Severe skin rash (dermatitis); And rare serious reactions.
DB00112,Bevacizumab,Avastin; rhuMAb-VEGF,Bevacizumab,Antineoplastic,A monoclonal antibody used to treat various cancers by inhibiting angiogenesis.,Ramucirumab; Aflibercept; Regorafenib (VEGF pathway alternatives),Common and serious adverse effects may include gi upset; Severe skin rash (dermatitis); And rare serious reactions.
DB00117,L-Histidine,Histidine; His,Histidine,Amino acid,An essential amino acid used as a dietary supplement.,Histidine dietary sources; Amino acid blends,Mild gi upset at high doses; Limited data; Generally well tolerated.
DB00118,S-Adenosylmethionine,SAMe; AdoMet,S-Adenosylmethionine,Supplement,A methyl donor used as a dietary supplement for depression and osteoarthritis.,SSRIs (for depression); Folate/L-methylfolate (adjunct),Limited data; Generally well tolerated at nutritional doses.
DB00119,Pyruvic acid,Pyruvate; 2-Oxopropanoic acid,Pyruvic acid,Supplement,An organic acid used in cosmetic and supplement preparations.,Alpha-lipoic acid; Coenzyme Q10 (metabolic support),Limited data; Generally well tolerated at nutritional doses.
DB00120,L-Phenylalanine,Phenylalanine; Phe,Phenylalanine,Amino acid,An essential amino acid used as a dietary supplement.,Tyrosine; Protein supplements,Limited data; Generally well tolerated at nutritional doses.
